,u,v,h,w,X,Y,Z,type,n_frame
0,814,249,35,26,22,169,12,yellow,1
1,961,346,73,55,187,754,-7,yellow,1
2,748,206,17,11,7,90,10,yellow,1
3,774,222,22,15,66,666,64,yellow,1
4,560,222,21,15,-20,412,39,blue,1
5,591,208,15,11,-2,66,7,blue,1
6,327,350,68,51,-132,683,-7,blue,1
7,500,253,34,26,-25,299,20,blue,1
8,115,272,27,17,-13,37,2,yellow,1
9,777,195,12,11,75,765,89,yellow,1
10,814,248,36,26,82,626,45,yellow,2
11,320,357,69,54,-6,32,-1,blue,2
12,964,352,74,54,85,339,-5,yellow,2
13,497,252,34,25,-72,833,58,blue,2
14,747,206,17,11,65,829,90,yellow,2
15,558,223,20,15,-44,902,86,blue,2
16,590,209,15,11,-11,385,41,yellow,2
17,773,220,23,16,58,586,56,yellow,2
18,624,201,12,10,-4,633,71,yellow,2
19,136,256,36,20,-193,561,38,yellow,2
20,110,265,33,19,-242,662,41,yellow,2
21,15,299,27,16,-332,748,29,yellow,2
22,815,252,37,27,120,904,63,yellow,3
23,298,365,77,58,-126,601,-15,blue,3
24,491,259,34,26,-15,165,11,blue,3
25,976,362,80,61,248,948,-22,yellow,3
26,771,222,26,17,38,388,37,yellow,3
27,553,226,22,16,-17,330,30,blue,3
28,747,206,18,11,46,575,63,yellow,3
29,0,306,25,17,-75,164,5,yellow,3
30,584,210,17,12,-25,773,81,yellow,3
31,619,203,13,11,-7,702,78,yellow,3
32,98,275,29,18,-170,452,25,yellow,3
33,828,258,38,29,133,936,60,yellow,4
34,778,225,23,16,51,498,46,yellow,4
35,549,228,21,16,-26,479,43,blue,4
36,250,400,84,66,-126,522,-28,blue,4
37,479,263,38,27,-78,805,49,blue,4
38,748,206,21,13,5,67,7,yellow,4
39,1021,393,91,70,63,211,-10,yellow,4
40,619,203,13,11,0,30,3,yellow,4
41,584,212,16,12,-1,33,3,yellow,4
42,104,274,29,19,-283,762,43,yellow,4
43,849,273,48,34,103,645,33,yellow,5
44,450,279,44,32,-81,703,33,blue,5
45,785,228,28,19,77,703,63,yellow,5
46,536,232,24,18,-18,282,24,blue,5
47,750,205,22,14,22,263,28,yellow,5
48,576,213,16,11,-21,554,57,blue,5
49,120,491,102,87,-262,790,-101,blue,5
50,615,202,14,11,-7,580,65,yellow,5
51,55,284,35,26,-320,785,36,yellow,5
52,22,286,43,26,-75,174,8,yellow,5
53,778,197,14,11,42,428,49,yellow,5
54,1122,477,121,102,237,611,-75,yellow,5
55,801,244,32,22,30,245,19,yellow,6
56,516,246,30,22,-7,92,7,blue,6
57,395,313,54,39,-67,445,9,blue,6
58,756,217,23,14,50,577,57,yellow,6
59,565,225,18,12,-30,664,62,yellow,6
